Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
Livestock Health and Disease Control Programme,Department of Animal Husbandry and Dairying,"Aims to control and eradicate livestock diseases via vaccination, surveillance, diagnostics, and veterinary infrastructure.",https://www.myscheme.gov.in,none,none,any,any,null,state/UT Veterinary Departments/ Animal Health Agencies,any,any,any,Central,any,any,any,"Animal Husbandry Departments, veterinary institutions as per scheme guidelines."
Infrastructure Development Fund (AHIDF),Department of Animal Husbandry and Dairying,Provides long-term financing for dairy/meat/feed plants and other livestock infra to boost value chains.,https://www.myscheme.gov.in,none,none,any,any,null,FPOs/ Cooperatives/ MSMEs/ SHGs/ Pvt Companies/ Govt Agencies,any,any,any,Central,any,any,any,Entities approved by NABARD/NCDC/banks as per AHIDF guidelines.
Dairy Development,Department of Animal Husbandry and Dairying,"Enhances milk production, processing, and marketing infra for dairy sector growth and farmer incomes.",https://www.myscheme.gov.in,none,none,any,any,null,Dairy Cooperatives/ NDDB/ Milk Producer Companies/ Govt Depts,any,any,any,Central,any,any,any,Implementing agencies approved under dairy development projects.
Rashtriya Gokul Mission,Department of Animal Husbandry and Dairying,"Develops and conserves indigenous cattle breeds with IVF, breeding infra, Gokul Grams, and genetics.",https://www.myscheme.gov.in,none,none,any,any,null,Breeding Societies/ NDDB/ state Agencies,any,any,any,Central,any,any,any,state bodies and institutions for indigenous cattle development.
Production-Linked Incentive (PLI) scheme for Food Processing Industry,Ministry of Food Processing Industries,"Provides financial incentives to food processing companies for increased sales, branding, expansion, and employment in processed foods.",https://www.myscheme.gov.in,none,none,any,any,null,Food processing companies meeting PLI investment/sales thresholds,any,any,any,Central,any,any,any,Companies fulfilling product-specific PLI scheme criteria.
Pradhan Mantri Swasthya Suraksha Yojana (PMSSY),Department of Health and Family Welfare,Establishes AIIMS-like institutions and upgrades government medical colleges to improve tertiary healthcare and medical education.,https://www.myscheme.gov.in,none,none,any,any,null,Government health infra implementers; end beneficiaries are patients,any,any,any,Central,any,any,any,"Government hospitals, medical colleges under PMSSY implementation."
National AIDS and stD Control Programme,Department of Health and Family Welfare,"Comprehensive care and prevention for HIV/AIDS and stDs through treatment, awareness, and community engagement.",https://www.myscheme.gov.in,none,none,any,any,null,PLHIVs/ NGOs/ SACS/ healthcare providers,any,any,any,Central,any,any,any,Individuals and institutions covered under NACO guidelines.
Global Fund Grant under COVID-19 Response Mechanism 2021 (EAP),Department of Health and Family Welfare,"Global Fund-backed COVID response including kits, PPEs, and system strengthening support.",https://www.myscheme.gov.in,none,none,any,any,null,Govt agencies/ health departments/ implementing partners,any,any,any,Central,any,any,any,COVID response entities receiving grants under GFATM framework.
Establishment and strengthening of NCDC Branches & Health Initiatives (Zoonotic/NCD/AMR),Department of Health and Family Welfare,"strengthens NCDC and state capacity for early warning and control of zoonotic diseases, viral hepatitis, and antimicrobial resistance.",https://www.myscheme.gov.in,none,none,any,any,null,NCDC officials/ state public health departments/ MoHFW units,any,any,any,Central,any,any,any,Institutions working under MoHFW and NCDC directives.
National Pharmacovigilance Programme,Department of Health and Family Welfare,Monitors adverse drug reactions (ADR) to ensure drug safety and effective pharmacological use in India.,https://www.myscheme.gov.in,none,none,any,any,null,Pharmacists/ doctors/ healthcare professionals/ medical colleges,any,any,any,Central,any,any,any,Institutions and professionals involved in ADR reporting via CDscO.
Development of Nursing Services,Department of Health and Family Welfare,"Enhances nursing services through training, quality education, and upgraded nursing institutions.",https://www.myscheme.gov.in,17,none,any,any,null,Nursing students/ institutions/ and faculty,any,any,any,Central,Minimum 12th pass for students; others as per role,any,any,For students in or managing MoHFW-supported nursing institutions.
Health Sector Disaster Preparedness and EMS HRD,Department of Health and Family Welfare,Improves medical response readiness for public health emergencies and disasters via capacity building.,https://www.myscheme.gov.in,none,none,any,any,null,Emergency medical staff/ paramedics/ disaster management personnel,any,any,any,Central,any,any,any,Healthcare professionals trained under MoHFW protocols.
National Organ Transplant Programme,Department of Health and Family Welfare,Develops transplant infrastructure and awareness to improve organ donation and save lives.,https://www.notto.mohfw.gov.in,none,none,any,any,null,Patients needing transplants/ hospitals/ awareness orgs,any,any,any,Central,any,any,any,"Transplant centres, donors, recipients under noTTO regulation."
Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PM-ABHIM),Department of Health and Family Welfare,"Aims to build public health infrastructure, diagnostics capacity, and critical care hospital blocks to prepare for health emergencies.",https://pmabhim.mohfw.gov.in,none,none,any,any,null,Health institutions/ public health departments/ state governments,any,any,any,Central,Institutional,any,any,For states/UTs and facilities implementing MoHFW-approved projects.
National Tele Mental Health Programme,Department of Health and Family Welfare,Provides access to mental health services via digital platforms like Tele MANAS for free tele-counselling.,https://telemanas.mohfw.gov.in,none,none,any,any,null,Individuals seeking mental health support/ tele-counsellors,any,any,any,Central,any,any,any,Open to anyone via national or state-level mental health helplines.
National Digital Health Mission (NDHM),Department of Health and Family Welfare,"Establishes digital health IDs, e-health records, and a unified health ecosystem.",https://healthid.ndhm.gov.in,none,none,any,any,null,Citizens/ healthcare providers/ digital health tech firms,any,any,any,Central,any,any,any,Individuals registering for digital health services under NDHM.
Nationwide Network of Labs for Epidemic Management,Department of Health Research,Sets up Viral Research & Diagnostic Labs (VRDLs) for epidemic preparedness and rapid response.,https://www.icmr.gov.in,none,none,any,any,null,Medical colleges/ labs/ and state departments under ICMR,any,any,any,Central,Institutional,any,any,Institutions identified under ICMR/Health Ministry epidemic protocols.
Development of Health Research Infrastructure,Department of Health Research,"Supports creation/upgradation of labs, tools, and training in medical and public health institutions to promote research.",https://dhr.gov.in,none,none,any,any,null,Government medical/research colleges & labs,any,any,any,Central,Institutional,any,any,Applicants from govt. institutions eligible under DHR/ICMR guidelines.
Human Resource and Capacity Development,Department of Health Research,"Offers fellowships, skill-building, and training to build a strong health research workforce in India.",https://dhr.gov.in,21,none,any,any,null,Medical researchers/ public health workers/ PhDs/ postdocs/ faculty,any,any,any,Central,Graduate+,any,any,For eligible individuals in health research under DHR fellowship programs.
PM Ayushman Bharat Health Infrastructure Mission – Biosecurity & One Health,Department of Health Research,"Aims to enhance pandemic preparedness and biosecurity through R&D labs, One Health integration, and intersectoral coordination.",https://pmabhim.mohfw.gov.in,none,none,any,any,null,ICMR/ national labs/ medical colleges/ and MoHFW agencies,any,any,any,Central,Institutional,any,any,Implemented by designated institutions for health security preparedness.
Enhancement of Competitiveness in Capital Goods Sector,Ministry of Heavy Industries,"Boosts competitiveness through tech upgradation, common infrastructure, skilling, and certification for capital goods sector.",https://heavyindustries.gov.in,none,none,any,any,null,Capital goods MSMEs/ manufacturers/ PSUs/ and R&D institutions,any,any,any,Central,Industrial,any,any,Eligible MSMEs and institutions under notified sector-specific guidelines.
FAME India scheme (Faster Adoption and Manufacturing of Electric Vehicles),Ministry of Heavy Industries,"Promotes EV adoption via purchase incentives, R&D grants, and charging infra development.",https://fame2.heavyindustries.gov.in,none,none,any,any,null,EV buyers/ fleet operators/ OEMs/ and charging developers,any,any,any,Central,any,any,any,EV buyers and manufacturers under FAME Phase II notification.
Electric Mobility Promotion scheme – 2024,Ministry of Heavy Industries,Provides direct subsidies for EVs including 2W/3W and commercial vehicles to accelerate clean mobility.,https://emobility.heavyindustries.gov.in,none,none,any,any,null,Individuals/ OEMs/ state transport units/ e-mobility operators,any,any,any,Central,any,any,any,As per 2024 notification criteria – EV category-wise subsidies available.
